station_id,display_name,original_names,n_original_names,lines,n_lines
Buckhurst Hill,Buckhurst Hill,Buckhurst Hill,1,Central-Epping;Central-Main,2
Burnt Oak,Burnt Oak,Burnt Oak,1,Northern-Main,1
Caledonian Road,Caledonian Road,Caledonian Road,1,Piccadilly-Main,1
Camden Town,Camden Town,Camden Town,1,Northern-Charing Cross;Northern-High Barnet;Northern-Main,3
Canada Water,Canada Water,Canada Water,1,Jubilee,1
Canary Wharf,Canary Wharf,Canary Wharf,1,Jubilee,1
Canning Town,Canning Town,Canning Town,1,Jubilee,1
Cannon Street,Cannon Street,Cannon Street,1,Circle-Main;District-Main,2
Canons Park,Canons Park,Canons Park,1,Jubilee,1
Chalfont & Latimer,Chalfont & Latimer,Chalfont & Latimer,1,Metropolitan-Chesham;Metropolitan-Main,2
Chalk Farm,Chalk Farm,Chalk Farm,1,Northern-Main,1
Chancery Lane,Chancery Lane,Chancery Lane,1,Central-Main,1
Charing Cross,Charing Cross,Charing Cross,1,Bakerloo;Northern-Charing Cross,2
Chesham,Chesham,Chesham,1,Metropolitan-Chesham,1
Chigwell,Chigwell,Chigwell,1,Central-Hainault Loop;Central-Main,2
Chiswick Park,Chiswick Park,Chiswick Park,1,District-Main,1
Chorleywood,Chorleywood,Chorleywood,1,Metropolitan-Main,1
Clapham Common,Clapham Common,Clapham Common,1,Northern-Main,1
Clapham North,Clapham North,Clapham North,1,Northern-Main,1
Clapham South,Clapham South,Clapham South,1,Northern-Main,1
Cockfosters,Cockfosters,Cockfosters,1,Piccadilly-Main,1
Colindale,Colindale,Colindale,1,Northern-Main,1
Colliers Wood,Colliers Wood,Colliers Wood,1,Northern-Main,1
Covent Garden,Covent Garden,Covent Garden,1,Piccadilly-Main,1
Croxley,Croxley,Croxley,1,Metropolitan-Watford,1
Dagenham East,Dagenham East,Dagenham East,1,District-Main,1
Dagenham Heathway,Dagenham Heathway,Dagenham Heathway,1,District-Main,1
Debden,Debden,Debden,1,Central-Epping;Central-Main,2
Dollis Hill,Dollis Hill,Dollis Hill,1,Jubilee,1
Ealing Broadway,Ealing Broadway,Ealing Broadway,1,Central-Main;District-Main,2
Ealing Common,Ealing Common,Ealing Common,1,District-Main;Piccadilly-Uxbridge,2
Earl's Court,Earl's Court,Earl's Court,1,District-Edgware Road;District-Kensington;District-Main;District-Wimbledon;Piccadilly-Main,5
East Acton,East Acton,East Acton,1,Central-Main,1
East Finchley,East Finchley,East Finchley,1,Northern-High Barnet,1
East Ham,East Ham,East Ham,1,District-Main;Hammersmith & City,2
East Putney,East Putney,East Putney,1,District-Wimbledon,1
Eastcote,Eastcote,Eastcote,1,Metropolitan-Uxbridge;Piccadilly-Uxbridge,2
Edgware,Edgware,Edgware,1,Northern-Main,1
Edgware Road,Edgware Road,Edgware Road,1,Bakerloo;Circle-Hammersmith;Circle-Main;District-Edgware Road;Hammersmith & City,5
Elephant & Castle,Elephant & Castle,Elephant & Castle,1,Bakerloo;Northern-Main,2
Elm Park,Elm Park,Elm Park,1,District-Main,1
Embankment,Embankment,Embankment,1,Bakerloo;Circle-Main;District-Main;Northern-Charing Cross,4
Epping,Epping,Epping,1,Central-Epping;Central-Main,2
Euston,Euston,Euston,1,Northern-Charing Cross;Northern-Main;Victoria,3
Euston Square,Euston Square,Euston Square,1,Circle-Main;Hammersmith & City;Metropolitan-Main,3
Fairlop,Fairlop,Fairlop,1,Central-Hainault Loop;Central-Main,2
Farringdon,Farringdon,Farringdon,1,Circle-Main;Hammersmith & City;Metropolitan-Main,3
Finchley Central,Finchley Central,Finchley Central,1,Northern-High Barnet;Northern-Mill Hill East,2
