edge_id,station_a,station_b,lines,n_lines
Eastcote__Ruislip Manor,Eastcote,Ruislip Manor,Metropolitan-Uxbridge;Piccadilly-Uxbridge,2
Edgware Road__Marylebone,Edgware Road,Marylebone,Bakerloo,1
Edgware Road__Paddington,Edgware Road,Paddington,Bakerloo;Circle-Hammersmith;Circle-Main;District-Edgware Road;Hammersmith & City,5
Elephant & Castle__Kennington,Elephant & Castle,Kennington,Northern-Main,1
Elephant & Castle__Lambeth North,Elephant & Castle,Lambeth North,Bakerloo,1
Elm Park__Hornchurch,Elm Park,Hornchurch,District-Main,1
Embankment__Temple,Embankment,Temple,Circle-Main;District-Main,2
Embankment__Waterloo,Embankment,Waterloo,Bakerloo;Northern-Charing Cross,2
Embankment__Westminster,Embankment,Westminster,Circle-Main;District-Main,2
Epping__Theydon Bois,Epping,Theydon Bois,Central-Epping;Central-Main,2
Euston__King’s Cross St. Pancras,Euston,King’s Cross St. Pancras,Northern-Main;Victoria,2
Euston__Mornington Crescent,Euston,Mornington Crescent,Northern-Charing Cross;Northern-Main,2
Euston__Warren Street,Euston,Warren Street,Northern-Charing Cross;Victoria,2
Euston Square__Great Portland Street,Euston Square,Great Portland Street,Circle-Main;Hammersmith & City;Metropolitan-Main,3
Euston Square__King’s Cross St. Pancras,Euston Square,King’s Cross St. Pancras,Circle-Main;Hammersmith & City;Metropolitan-Main,3
Fairlop__Hainault,Fairlop,Hainault,Central-Hainault Loop;Central-Main,2
Farringdon__King’s Cross St. Pancras,Farringdon,King’s Cross St. Pancras,Circle-Main;Hammersmith & City;Metropolitan-Main,3
Finchley Central__Mill Hill East,Finchley Central,Mill Hill East,Northern-Mill Hill East,1
Finchley Central__West Finchley,Finchley Central,West Finchley,Northern-High Barnet,1
Finchley Road__Swiss Cottage,Finchley Road,Swiss Cottage,Jubilee,1
Finchley Road__Wembley Park,Finchley Road,Wembley Park,Metropolitan-Main,1
Finchley Road__West Hampstead,Finchley Road,West Hampstead,Jubilee,1
Finsbury Park__Highbury & Islington,Finsbury Park,Highbury & Islington,Victoria,1
Finsbury Park__Manor House,Finsbury Park,Manor House,Piccadilly-Main,1
Finsbury Park__Seven Sisters,Finsbury Park,Seven Sisters,Victoria,1
Fulham Broadway__Parsons Green,Fulham Broadway,Parsons Green,District-Wimbledon,1
Fulham Broadway__West Brompton,Fulham Broadway,West Brompton,District-Wimbledon,1
Gants Hill__Newbury Park,Gants Hill,Newbury Park,Central-Hainault Loop;Central-Main,2
Gants Hill__Redbridge,Gants Hill,Redbridge,Central-Hainault Loop;Central-Main,2
Gloucester Road__High Street Kensington,Gloucester Road,High Street Kensington,Circle-Main,1
Gloucester Road__South Kensington,Gloucester Road,South Kensington,Circle-Main;District-Main;Piccadilly-Main,3
Golders Green__Hampstead,Golders Green,Hampstead,Northern-Main,1
Goldhawk Road__Hammersmith,Goldhawk Road,Hammersmith,Circle-Hammersmith;Hammersmith & City,2
Goldhawk Road__Shepherd’s Bush Market,Goldhawk Road,Shepherd’s Bush Market,Circle-Hammersmith;Hammersmith & City,2
Goodge Street__Tottenham Court Road,Goodge Street,Tottenham Court Road,Northern-Charing Cross,1
Goodge Street__Warren Street,Goodge Street,Warren Street,Northern-Charing Cross,1
Grange Hill__Hainault,Grange Hill,Hainault,Central-Hainault Loop;Central-Main,2
Green Park__Hyde Park Corner,Green Park,Hyde Park Corner,Piccadilly-Main,1
Green Park__Oxford Circus,Green Park,Oxford Circus,Victoria,1
Green Park__Piccadilly Circus,Green Park,Piccadilly Circus,Piccadilly-Main,1
Green Park__Victoria,Green Park,Victoria,Victoria,1
Green Park__Westminster,Green Park,Westminster,Jubilee,1
